placekey,safegraph_place_id,parent_placekey,parent_safegraph_place_id,location_name,safegraph_brand_ids,brands,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,iso_country_code,phone_number,open_hours,category_tags,opened_on,closed_on,tracking_opened_since,tracking_closed_since
zzz-222@5sb-7wd-zzz,sg:9b60db38d93845fdb284468fc0613548,,,Maple Trail Woods,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.874088,-87.954831,225 S Prospect Ave,Villa Park,IL,60126,US,NA,,,,NA,,2019-07
zzz-222@5sb-cp3-yy9,sg:bc506f6d83594ae69707dccb497727bc,,,Sunrise Park And Beach,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.278743,-87.829812,Mountain Ave,Lake Bluff,IL,60044,US,NA,,,,NA,,2019-07
zzz-222@5pw-5zf-vvf,sg:dd2406da2c174230b10e34b9a95e2a52,,,Schaefer Edward,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.925744,-87.669059,2415 N Marshfield Ave,Chicago,IL,60614,US,NA,,,,NA,,2019-07
zzy-222@5sb-7s4-q4v,sg:ff6278167f684947a313135aeba8c729,,,Leiseberg Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.987789,-88.15395,325 E Devon Ave,Hanover Park,IL,60103,US,NA,,,,NA,,2019-07
zzz-222@5pv-mwr-mhq,sg:0388dae46295488ea8cef51c101d617f,,,Village Square,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,40.791268,-89.362453,E Partridge St & N Menard St,Metamora,IL,61548,US,NA,,,,NA,,2019-07
zzz-222@5pw-p6g-rtv,sg:26724485b8674cc1acee334fa2503ece,,,Zausa Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.78371,-88.278197,Zausa Park,Aurora,IL,60505,US,NA,,,,NA,,2019-07
zzz-222@5pw-6ff-xbk,sg:3ec5f6c95e424926aaa535a98e8cc39c,,,Back Of The Yards,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.804259,-87.658203,4920 S Throop St,Chicago,IL,60609,US,NA,,,,NA,,2019-07
zzz-222@5sb-7gk-3t9,sg:9378d7c60a42463d852e8da77f38e730,,,Frank M Loffredo Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.430132,-88.075414,485 N Milwaukee Ave,Lake Villa,IL,60046,US,NA,,,,NA,,2019-07
zzz-222@5pw-293-8vz,sg:ac00c508f4f34401bfc726f51190dd85,,,Mceldowney Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.503533,-87.64654,Unknown,Chicago Heights,IL,60411,US,NA,,,,NA,,2019-07
zzz-222@5q2-wnc-3dv,sg:18fd2e23f38e49d4bf7687c87f9a9497,,,East End Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.511612,-90.47249,4631 5th Ave,Moline,IL,61265,US,NA,,,,NA,,2019-07
zzz-222@5pw-p4f-kzz,sg:4839124868fa430d9c74a2f313512e8d,,,Orchard Valley,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.772507,-88.383243,Orchard Valley,Aurora,IL,60506,US,NA,,,,NA,,2019-07
zzz-222@5pw-296-qvf,sg:62be2d3463a14fb0962fb8c00bff91af,,,Logan Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.499808,-87.684772,Unknown,Park Forest,IL,60466,US,NA,,,,NA,,2019-07
zzz-222@5sb-79v-rkz,sg:9c87d9be2eba45ce85f83e74e462cbf1,,,Hatchery Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.44223,-88.240901,2314 Hatchery Rd,Spring Grove,IL,60081,US,NA,,,,NA,,2019-07
zzz-222@5sb-6tc-789,sg:2b4c10b9959443809134f06a5184694c,,,Sonatas Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.344897,-88.432899,2488 Haydn St,Woodstock,IL,60098,US,NA,,,,NA,,2019-07
zzw-222@5pk-8hq-cwk,sg:46e540edb84b4b96b1863a0e07d058c4,,,Rotary Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,39.771683,-89.737254,4501 W Iles Ave,Springfield,IL,62711,US,NA,,,,NA,,2019-07
zzz-222@5pw-68z-yn5,sg:8092eba8ade64e8d9d2255cfa5321bc7,,,Unity,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.929655,-87.712542,2636 N Kimball Ave,Chicago,IL,60647,US,NA,,,,NA,,2019-07
zzz-222@5pw-69b-xdv,sg:dd42cc78d93d4bdea8dc1e571710ee39,,,Merchant Park Community Garden,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.945518,-87.73306,Merchant Park Community Garden,Chicago,IL,60641,US,NA,,,,NA,,2019-07
zzz-222@5sb-79f-2rk,sg:ed77a42573c24d3abdb7e4a463a9d3d1,,,Lake Elizabeth,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.489171,-88.284192,Lake Elizabeth,Richmond,IL,60071,US,NA,,,,NA,,2019-07
zzw-224@5pw-6sm-2p9,sg:f8d7eca8c60b461aa5cd891eb5d1e093,,,Green Bay Trail,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.076788,-87.708425,722 Green Bay Rd,Wilmette,IL,60091,US,NA,,,,NA,,2019-07
zzz-222@5pw-5zg-jgk,sg:d71ab1a6fc1d4a838d34259248606df3,,,South Lakeview,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.933626,-87.661682,1300 W Wolfram St,Chicago,IL,60657,US,NA,,,,NA,,2019-07
zzz-222@5sb-77w-vcq,sg:f033713c51d146b29f02b1815e50f591,,,Stoneybrook Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.171793,-88.310457,Stoneybrook Park,Algonquin,IL,60102,US,NA,,,,NA,,2019-07
zzz-222@5sb-88f-kvf,sg:f73b2236b3394bfab996e999a945d50b,,,Mulberry Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.12124,-88.064258,613 N Franklin Ave,Palatine,IL,60067,US,NA,,,,NA,,2019-07
zzy-222@5sb-89s-mc5,sg:f8645891bcc447b4a3c2962c9aa221e6,,,Paul Douglas Forest Preserve,,,"Museums, Historical Sites, and Similar Institutions",Zoos and Botanical Gardens,712130,42.066932,-88.07845,Roselle Rd & Central Rd,Schaumburg,IL,60195,US,NA,,,,NA,,2019-07
zzz-222@5sb-7th-5mk,sg:008d7a6c8b86475b839c380bddcfcb56,,,Meineke Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.018239,-88.074703,Meineke Park,Schaumburg,IL,60193,US,18475244200,,,,NA,,2019-07
zzz-222@5pv-s2g-x3q,sg:2f4229b5983d4c438783036cc2dc8117,,,Lions Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,39.775513,-88.893495,West Main St,Mount Zion,IL,62549,US,NA,,,,NA,,2019-07
zzz-222@5pw-6dy-btv,sg:97aeb9595f2849e480adf589bc8b68ca,,,South Shore Cultl Ctr,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.769607,-87.563888,7059 S South Shore Dr,Chicago,IL,60649,US,NA,,,,NA,,2019-07
zzz-222@5sb-8bc-cnq,sg:a4c0903e39714343bdb05d76ea3613bf,,,Covered Bridge Trail Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.177194,-87.999478,Long Grove Rd,Long Grove,IL,60047,US,NA,,,,NA,,2019-07
zzz-222@5pw-6rg-t35,sg:b502abcfed5a499ea5001a42ea5b7d6c,,,Donald W Lyon Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.019694,-87.738743,7640 Kostner Ave,Skokie,IL,60076,US,NA,,,,NA,,2019-07
zzz-222@5pw-2c6-fvf,sg:c1d0869eae5d4971981ac5d33b40cae2,,,Van Horn Woods,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.570713,-88.186587,Van Horn Woods,Joliet,IL,60586,US,NA,,,,NA,,2019-07
zzz-222@5pw-6q7-7dv,sg:2eeb55f2806c41d5b634009b7ca0924a,,,Independence Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.06482,-87.701919,Independence Park,Evanston,IL,60201,US,NA,,,,NA,,2019-07
zzz-222@5pv-ssx-2tv,sg:3bb407d29a6f4de089d5b7f005ae5328,,,Wildcat Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,39.472684,-88.365495,S 9th St,Mattoon,IL,61938,US,NA,,,,NA,,2019-07
zzz-222@5sb-6x2-kmk,sg:056430dbb2fa4797933445a2b3f5d8f7,,,Decker Park and Trails,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,42.227004,-88.227275,Decker Park And Trails,Cary,IL,60013,US,NA,,,,NA,,2019-07
zzz-222@5pw-nmn-btv,sg:61d501ec13e84f959a2b2981e3ee3da0,,,Beecher Park,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.653483,-88.448726,901 Game Farm Rd,Yorkville,IL,60560,US,NA,,,,NA,,2019-07
zzz-222@5pw-nmp-r8v,sg:8f8891aff68a470b878689418946cbf6,,,Richard Young F P,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.634459,-88.425609,Richard Young F P,Yorkville,IL,60560,US,NA,,,,NA,,2019-07
22f-222@5pv-mwr-k2k,sg:b9de44c421bf4165b50b20b9011cdc89,,,Merrilee Studios,,,"Museums, Historical Sites, and Similar Institutions",Zoos and Botanical Gardens,712130,40.791284,-89.361165,212 E Partridge St,Metamora,IL,61548,US,NA,"{ """"Mon"""": [[""""16:00"""", """"21:30""""]], """"Tue"""": [[""""16:00"""", """"21:30""""]], """"Wed"""": [[""""16:00"""", """"21:30""""]], """"Thu"""": [[""""16:00"""", """"21:30""""]], """"Fri"""": [], """"Sat"""": [], """"Sun"""": [] }",,,NA,,2019-07
zzz-222@5sb-85g-s89,sg:0ab4c7a004f549cd95829006b20a8e64,,,Country Commons,,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,41.777567,-88.134287,919 School Street,Naperville,IL,60540,US,NA,,,,NA,,2019-07
